yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,aapi_pop_15to64,black_pop_15to64,latinx_pop_15to64,native_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_pop,female_jail_pop,male_jail_pop,female_adult_jail_pop,female_juvenile_jail_pop,male_adult_jail_pop,male_juvenile_jail_pop,aapi_jail_pop,black_jail_pop,latinx_jail_pop,native_jail_pop,white_jail_pop,other_race_jail_pop,total_jail_pretrial,total_jail_from_prison,total_jail_from_other_jail,total_jail_from_fed,total_jail_from_bia,total_jail_from_bop,total_jail_from_ice,total_jail_from_marshals,total_jail_from_other_fed,jail_rated_capacity,private_jail_flag,regional_jail_flag,total_jail_adm,total_jail_dis,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,aapi_prison_pop,black_prison_pop,latinx_prison_pop,native_prison_pop,other_race_prison_pop,white_prison_pop,aapi_female_prison_pop,aapi_male_prison_pop,black_female_prison_pop,black_male_prison_pop,latinx_female_prison_pop,latinx_male_prison_pop,native_female_prison_pop,native_male_prison_pop,other_race_female_prison_pop,other_race_male_prison_pop,white_female_prison_pop,white_male_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,aapi_prison_adm,black_prison_adm,latinx_prison_adm,native_prison_adm,other_race_prison_adm,white_prison_adm,aapi_female_prison_adm,aapi_male_prison_adm,black_female_prison_adm,black_male_prison_adm,latinx_female_prison_adm,latinx_male_prison_adm,native_female_prison_adm,native_male_prison_adm,other_race_female_prison_adm,other_race_male_prison_adm,white_female_prison_adm,white_male_prison_adm,total_jail_pop_rate,female_jail_pop_rate,male_jail_pop_rate,aapi_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,native_jail_pop_rate,white_jail_pop_rate,total_jail_adm_rate,total_jail_pretrial_rate,total_prison_pop_rate,female_prison_pop_rate,male_prison_pop_rate,aapi_prison_pop_rate,black_prison_pop_rate,latinx_prison_pop_rate,native_prison_pop_rate,white_prison_pop_rate,total_prison_adm_rate,female_prison_adm_rate,male_prison_adm_rate,aapi_prison_adm_rate,black_prison_adm_rate,latinx_prison_adm_rate,native_prison_adm_rate,white_prison_adm_rate
197053033,1970,53033,WA,King County,1157415,739297,376049,363248,,,,,,urban,West,Pacific,171,42660,2115.21,744,40,699,40,,699,,,,,,,,459,,,,,,,,,1081,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.64,10.64,192.43,,,,,,,62.09,,,,,,,,,,,,,,,,
197153033,1971,53033,WA,King County,1149619,739985,375080,364905,,,,,,urban,West,Pacific,171,42660,2115.21,487,10.25,472.38,10.25,,472.38,,,,,,,,300.88,,,,,,,,,736.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.81,2.73,129.45,,,,,,,40.66,,,,,,,,,,,,,,,,
197253033,1972,53033,WA,King County,1138907,740507,373895,366612,,,,,,urban,West,Pacific,171,42660,2115.21,530,20.5,505.75,20.5,,505.75,,,,,,,,322.75,,,,,,,,,791.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.57,5.48,137.95,,,,,,,43.59,,,,,,,,,,,,,,,,
197353033,1973,53033,WA,King County,1138912,748914,377261,371653,,,,,,urban,West,Pacific,171,42660,2115.21,573,30.75,539.12,30.75,,539.12,,,,,,,,344.62,,,,,,,,,846.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.51,8.15,145.06,,,,,,,46.02,,,,,,,,,,,,,,,,
197453033,1974,53033,WA,King County,1152987,767411,385983,381428,,,,,,urban,West,Pacific,171,42660,2115.21,616,41,572.5,41,,572.5,,,,,,,,366.5,,,,,,,,,902,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.27,10.62,150.09,,,,,,,47.76,,,,,,,,,,,,,,,,
197553033,1975,53033,WA,King County,1160814,780974,392286,388688,,,,,,urban,West,Pacific,171,42660,2115.21,659,51.25,605.88,51.25,,605.88,,,,,,,,388.38,,,,,,,,,957.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.38,13.06,155.88,,,,,,,49.73,,,,,,,,,,,,,,,,
197653033,1976,53033,WA,King County,1167844,794077,398050,396027,,,,,,urban,West,Pacific,171,42660,2115.21,702,61.5,639.25,61.5,,639.25,,,,,,,,410.25,,,,,,,,,1012.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4,15.45,161.42,,,,,,,51.66,,,,,,,,,,,,,,,,
197753033,1977,53033,WA,King County,1182690,811248,405840,405408,,,,,,urban,West,Pacific,171,42660,2115.21,745,71.75,672.62,71.75,,672.62,,,,,,,,432.12,,,,,,,,,1067.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.83,17.68,165.91,,,,,,,53.27,,,,,,,,,,,,,,,,
197853033,1978,53033,WA,King County,1206062,834664,416805,417859,,,,,,urban,West,Pacific,171,42660,2115.21,788,82,706,82,0,706,0,,,,,,,454,24,6,62,,,,,,1123,0,0,34008,33696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.41,19.67,168.96,,,,,,4074.45,54.39,,,,,,,,,,,,,,,,
197953033,1979,53033,WA,King County,1235576,862088,429620,432468,,,,,,urban,West,Pacific,171,42660,2115.21,856.8,81,776,81,0,775,1,,,,,,,440.8,33,8.1,60.9,,,,,,1160,0,0,36550.8,36283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.39,18.85,179.44,,,,,,4239.8,51.13,,,,,,,,,,,,,,,,
198053033,1980,53033,WA,King County,1276306,895822,445816,450006,,,,,,urban,West,Pacific,171,42660,2115.21,925.6,80,846,80,0,844,2,,,,,,,427.6,42,10.2,59.8,,,,,,1197,0,0,39093.6,38870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.32,17.94,188,,,,,,4363.99,47.73,,,,,,,,,,,,,,,,
198153033,1981,53033,WA,King County,1300383,912934,454137,458797,,,,,,urban,West,Pacific,171,42660,2115.21,994.4,79,916,79,0,913,3,,,,,,,414.4,51,12.3,58.7,,,,,,1234,0,0,41636.4,41457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.92,17.4,199.65,,,,,,4560.72,45.39,,,,,,,,,,,,,,,,
198253033,1982,53033,WA,King County,1311368,919612,457620,461992,,,,,,urban,West,Pacific,171,42660,2115.21,1063.2,78,986,78,0,982,4,,,,,,,401.2,60,14.4,57.6,,,,,,1271,0,0,44179.2,44044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.61,17.04,213.42,,,,,,4804.11,43.63,,,,,,,,,,,,,,,,
198353033,1983,53033,WA,King County,1316336,921532,458176,463356,,,,,,urban,West,Pacific,171,42660,2115.21,1133,77,1057,77,0,1052,5,,,,,,,388,69,16.5,56.5,,,8,,2,1314,0,0,46786,46695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.95,16.81,228.12,,,,,,5076.98,42.1,,,,,,,,,,,,,,,,
198453033,1984,53033,WA,King County,1328053,930979,462888,468091,,,,,,urban,West,Pacific,171,42660,2115.21,1217.4,92.2,1126.4,92.2,0,1123.9,2.5,,,,,,,474.1,59,28.9,55.4,,,5.8,,3.3,1240.3,0,0,47017,46831.3,,,,,,,2213,105,2108,,791,85,77,39,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.77,19.92,240.64,,,,,,5050.28,50.92,237.71,22.68,450.34,,,,,,,,,,,,,
198553033,1985,53033,WA,King County,1352661,947844,471384,476460,,,,,,urban,West,Pacific,171,42660,2115.21,1301.8,107.4,1195.8,107.4,0,1195.8,0,9,391,0,46,779,,560.2,49,41.3,54.3,,,3.6,,4.6,1166.6,0,0,47248,46967.6,,,,,,,2292,86,2206,,791,109,78,35,1247,,,,,,,,,,,,,667,32,635,,233,36,17,9,359,,,,,,,,,,,,,137.34,22.78,250.98,,,,,,4984.79,59.1,241.81,18.24,463,,,,,,70.37,6.79,133.27,,,,,
